"Gas.Utility","Electric.Utility","Customer.Type","Total.Project.Cost","Total.Incentives","Fuel.Type","Year.Home.Built","Size.of.Home","Measure.Type","FYES","HRGJ"
14,8,2,12120,0,9,1975,1113,1,36,2
14,6,2,9260,0,9,1967,1634,1,187,2
14,8,1,9000,4000,9,1870,1440,1,346,2
14,8,2,5002,0,9,1963,1632,1,148,2
1,6,1,11048,4000,11,1860,1892,1,556,2
14,8,1,4022,2011,9,1929,2220,1,116,2
14,8,1,5152,2576,9,1977,2184,1,165,2
1,6,2,13686,0,10,1950,2099,1,1633,2
14,8,2,4846,0,9,1997,2129,1,87,2
10,5,2,3950,0,9,1974,1384,1,118,2
10,5,1,6000,3000,9,1950,1604,1,126,2
10,5,1,8600,4000,9,1960,1532,1,279,2
11,6,1,10600,4000,9,1920,2275,1,98,2
14,8,1,7895,3948,9,1950,1372,1,248,2
1,5,1,3700,1850,12,1955,1387,1,215,2
9,5,1,2700,1350,9,1900,2018,1,50,2
1,5,1,13365,4000,11,1978,1388,1,169,2
1,6,1,16375,1400,11,1950,1346,1,546,2
1,5,2,5370,0,11,1979,2000,1,310,2
14,8,2,4400,0,9,2000,1586,1,20,2
1,5,1,13300,4000,10,1932,2728,1,2991,2
14,8,1,17650,4000,9,1920,1911,1,453,2
10,5,1,6946,3473,9,1928,1344,1,74,2
14,8,2,4431,0,9,1949,1252,1,6,2
11,6,1,24356,5000,1,1941,1438,1,341,2
14,8,2,4040,0,9,1962,1025,1,61,2
14,8,1,12040,4000,9,1865,1849,1,246,2
14,8,2,6166,0,9,1950,3007,1,199,2
14,8,2,5240,0,9,1850,2075,1,230,2
9,4,1,7580,3790,9,1973,1784,1,105,2
14,8,2,8031,0,9,1955,2008,1,221,2
14,8,2,5350,0,9,1948,3384,1,207,2
14,8,1,5256,2628,9,1960,1800,1,97,2
14,8,2,13783,0,9,1966,1248,1,403,2
10,5,2,12250,0,9,1956,1076,1,113,2
10,4,1,7916,3958,9,1950,1056,1,227,2
14,8,1,6075,3038,9,1972,1316,1,106,2
14,8,2,4300,0,9,1925,1716,1,30,2
11,6,1,9220,2635,9,1958,1200,1,154,2
14,8,1,4294,2147,9,1900,1150,1,210,2
14,8,2,8590,0,9,1959,1120,1,191,2
1,5,1,8235,4000,11,1971,1248,1,228,2
10,5,1,6947,3474,9,1955,2136,1,244,2
10,5,1,7471,3736,9,1920,1655,1,256,2
3,2,2,9725,0,9,1923,1920,1,271,2
14,8,2,4400,0,9,1954,1246,1,137,2
4,6,2,6250,0,9,1968,2450,1,55,2
1,6,2,6699,0,11,2007,1112,1,367,2
9,5,1,2350,1175,9,1915,2200,1,62,2
10,5,2,6940,0,9,1956,1550,1,171,2
14,8,2,3981,0,9,1962,3040,1,61,2
10,5,1,4800,2400,9,1990,980,1,139,2
11,6,2,4730,0,9,1956,1148,1,20,2
9,6,1,6420,3150,9,1915,2080,1,258,2
10,5,2,7130,0,9,1945,2127,1,171,2
14,8,1,4468,2234,9,1973,1438,1,194,2
14,8,1,16626,5000,9,1970,2700,1,163,2
9,6,1,11315,4000,9,1850,1826,1,519,2
14,8,1,7100,3550,9,1958,1072,1,89,2
14,8,1,6400,3200,9,1974,1712,1,259,2
1,2,2,9600,0,10,1987,2016,1,884,2
1,6,2,9390,0,11,1970,1856,1,255,2
10,5,1,7850,3900,9,1958,3368,1,87,2
11,6,1,8650,4000,9,1890,2688,1,357,2
14,8,2,4128,0,9,1974,1980,1,133,2
1,5,1,6560,3280,7,1945,1999,1,1326,2
9,5,1,7200,3600,9,1925,1564,1,50,2
1,6,2,13690,0,11,1970,2500,1,883,2
1,6,2,15986,0,10,1984,2628,1,663,2
14,8,1,10396,3700,9,1920,1316,1,197,2
14,8,1,9520,4760,9,1991,2267,1,219,2
9,5,2,8700,0,9,1955,1174,1,236,2
10,5,2,8750,0,9,1975,2136,1,116,2
14,8,2,8142,0,9,1968,2040,1,73,2
14,8,1,7900,3950,9,1910,1188,1,166,2
14,8,1,5712,2856,9,2002,1456,1,52,2
1,6,1,12520,4000,10,1939,2273,1,682,2
14,8,2,4300,0,9,1952,1596,1,119,2
11,8,2,4820,0,9,1885,1740,1,145,2
14,8,1,5600,2800,9,1965,1881,1,269,2
14,8,2,9347,0,9,1993,2400,1,53,2
1,5,1,10049,4275,10,1840,1028,1,59,2
1,6,2,5342,0,6,1988,1970,1,136,2
1,6,1,8736,4000,10,1888,2126,1,634,2
14,8,2,9788,0,9,1971,3556,1,227,2
14,8,2,5760,0,9,1955,3350,1,152,2
10,5,2,3763,0,9,1952,1271,1,36,2
9,5,1,4000,2000,9,1948,1014,1,20,2
14,8,1,3300,1650,9,1940,840,1,70,2
1,8,2,7532,0,9,1930,1650,1,317,2
14,8,1,8357,4179,9,1976,1062,1,353,2
9,5,2,3850,0,9,1967,1500,1,93,2
9,5,2,11500,0,9,2003,3000,1,183,2
1,1,1,29813,4000,10,1935,1350,1,1185,2
14,8,1,6550,3275,9,1921,1500,1,310,2
14,8,2,3100,0,9,2003,1608,1,77,2
14,8,2,5825,0,9,1955,3556,1,11,2
10,5,1,3125,1500,9,1950,840,1,90,2
14,8,1,9750,4000,9,1962,1626,1,202,2
14,8,2,10843,0,9,1952,1500,1,128,2
14,8,1,9574,4000,9,1988,1211,1,297,2
1,5,1,7000,3500,11,1880,1600,1,582,2
9,5,1,8650,4000,9,1927,1552,1,324,2
14,8,2,10853,0,9,1987,2946,1,377,2
10,4,1,5700,2850,9,1920,1566,1,313,2
11,8,1,13100,3950,9,1983,1650,1,229,2
10,5,1,7000,3500,9,1920,1200,1,207,2
1,6,1,7856,3928,12,1900,2427,1,1058,2
10,5,1,5837,2919,9,1963,1572,1,287,2
9,5,1,5380,2690,9,1842,1750,1,454,1
14,8,2,10587,0,9,1984,1308,1,127,2
9,5,1,9100,3000,9,1989,900,1,235,2
10,5,1,3995,1998,9,1970,924,1,71,2
14,5,2,2400,0,9,1926,1275,1,62,2
3,2,2,9732,0,9,1929,2800,1,176,2
1,5,1,7070,3325,10,1960,1288,1,172,2
10,5,1,9600,4800,9,1929,2784,1,307,2
14,8,2,5450,0,9,1984,1795,1,36,2
14,5,2,5654,0,9,1945,1008,1,311,2
10,5,2,7700,0,9,1998,1242,1,94,2
11,6,1,7296,3648,9,1900,1200,1,82,2
2,1,2,5836,0,9,1937,1813,1,584,2
1,8,2,4140,0,10,1964,1150,1,40,2
1,5,2,10468,0,10,1948,1150,1,40,2
14,8,2,4673,0,9,1960,984,1,213,2
11,8,2,10100,0,9,1989,1232,1,35,2
4,6,2,5710,0,9,1992,2850,1,4,2
14,8,2,4200,0,9,1920,1188,1,62,2
10,5,1,15152,4000,9,1915,1008,1,687,2
14,8,1,8100,4000,9,1965,2100,1,216,2
11,6,1,10597,2725,9,1998,924,1,128,2
11,6,2,4280,0,1,1921,1310,1,287,2
9,5,1,8000,4000,9,1930,1560,1,186,2
14,8,2,8310,0,9,1965,1111,1,146,2
14,8,1,9590,4000,9,1920,1712,1,364,2
14,8,2,21252,0,9,1955,3280,1,252,2
11,6,2,3800,0,9,1870,1398,1,282,2
14,8,2,5434,0,9,1982,1350,1,142,2
9,6,1,11000,4000,9,1943,1087,1,188,2
4,6,2,4374,0,9,1954,1969,1,12,2
14,8,1,15999,4000,9,1966,875,1,151,2
14,8,2,5285,0,9,1992,3729,1,104,2
11,8,2,8580,0,9,1870,900,1,222,2
14,8,2,5197,0,9,1975,1001,1,27,2
15,8,2,7677,0,9,1957,1571,1,55,2
1,6,2,4400,0,9,2001,1458,1,62,2
3,2,2,23980,0,9,1985,1968,1,1627,1
1,5,1,7500,3750,10,1940,1712,1,1531,2
9,4,1,19000,4000,9,1948,1638,1,422,2
11,6,1,8035,4000,9,1982,1691,1,75,2
9,5,1,4853,2427,9,1900,2965,1,90,2
14,8,1,3282,1641,9,1928,1516,1,184,2
9,8,1,5450,2725,9,1968,1352,1,54,2
11,6,1,13554,2905,9,1960,3200,1,583,2
14,8,2,1700,0,12,1986,1784,1,36,2
1,2,2,2944,0,10,1950,2629,1,27,2
11,5,2,14672,0,9,1956,2733,1,357,2
